,company_name,stage,type,latitude,longitude
227,Smallworld IT,Operational,Colocation,50.846677,-0.98966
228,Wavenet Limited,Operational,Colocation,51.498437,-0.014517
229,Atlas Communications Ltd.,Operational,Colocation,54.63272,-5.867727
230,Hosting UK,Operational,Colocation,53.252193,-3.479159
231,Simulant Systems Ltd,Operational,Colocation,53.958445,-1.081559
232,Greystoke,Operational,Campus,53.62084,-0.273423
233,Greystoke,Planned,Colocation,53.622332,-0.274552
234,Greystoke,Planned,Colocation,53.62084,-0.273423
235,Greystoke,Planned,Colocation,53.619339,-0.272206
236,IBM,Operational,Hyperscaler,51.025524,-1.396205
237,IBM,Operational,Hyperscaler,52.293069,-1.603025
238,i-Dash Ltd,Operational,Colocation,52.213125,-0.290844
239,Internet For Business Ltd (IFB),Operational,Colocation,57.116105,-2.077353
240,Internet For Business Ltd (IFB),Operational,Colocation,57.143702,-2.108412
241,Redcentric,Operational,Colocation,53.990615,-1.539112
242,Redcentric,Operational,Colocation,51.420601,-0.97522
243,Intercity Technology,Operational,Colocation,52.473497,-1.904506
244,Intercity Technology,Operational,Colocation,53.585354,-2.525677
245,Intercity Technology,Operational,Colocation,51.653951,-0.280088
246,Elite Limited,Operational,Colocation,50.813643,-1.082979
247,EXA Infrastructure,Operational,Colocation,52.20883,1.594026
248,EXA Infrastructure,Operational,Colocation,52.022065,1.131485
249,Digital Realty,Operational,Colocation,51.521334,-0.072457
250,Digital Realty,Operational,Colocation,51.521334,-0.072457
251,Digital Realty,Operational,Colocation,51.521437,-0.073106
252,iomart hosting,Operational,Colocation,55.851108,-4.283601
253,iomart hosting,Operational,Colocation,52.640431,-1.140267
254,iomart hosting,Operational,Colocation,51.523257,-0.08456
255,iomart hosting,Operational,Colocation,51.528799,-0.725435
256,iomart hosting,Operational,Colocation,52.951392,-1.138787
257,IONOS,Operational,Colocation,52.205937,-2.15669
258,IP House,Operational,Colocation,51.515433,0.001934
259,Itility Limited,Operational,Colocation,53.465131,-2.193141
260,Iron Mountain Data Centers,Operational,Colocation,51.510538,-0.595041
261,Iron Mountain Data Centers,Operational,Colocation,51.520512,-0.621487
